GenCo_Name,"Zone 
Location","Capacity 
(MW)",Minimum generation (MW),Fuel Type,"MinUp
Time (hr)","MinDown 
Time (hr)","Ramp Rate
(MW/hr)","StartUp 
Cost ($)","NoLoad
Cost ($)","Dispatch Cost Linear
Coefficient a 
($/MWh)","Dispatch Cost Quadratic
Coefficient b 
($/MW^2h)"
Generator_62,CT,42.6,8.52, NGA4 ,1,1,400,325.75,612.84,57.03,0.02133
Generator_63,WCMASS,275,55, NGTN ,1,1,400,0,0,375,0.0042
Generator_64,RI,300,60, NGTN ,1,1,400,0,0,400,0.0035
Generator_65,RI,325,65, NGTN ,1,1,400,0,0,350,0.0036
Generator_66,CT,225,78.75, RFO ,1,1,400,0,0,325,0.0342
Generator_67,WCMASS,150,30, NGT2 ,1,1,400,0,0,375,0.008
Generator_68,WCMASS,175,35, NGT2 ,1,1,400,0,0,350,0.009
Generator_69,ME,175,35, NGPN ,1,1,400,0,0,300,0.009
Generator_70,ME,85,17, NGPN ,1,1,400,0,0,290,0.009
Generator_71,ME,55,11, NGPN ,1,1,400,0,0,310,0.009
Generator_72,ME,150,30, NGTN ,1,1,400,0,0,325,0.009
Generator_73,ME,200,40, NGTN ,1,1,400,0,0,350,0.008
Generator_74,ME,150,30, NGTN ,1,1,400,0,0,340,0.0075
Generator_75,ME,100,20, NGTN ,1,1,400,0,0,375,0.0085
Generator_76,ME,125,25, NGTN ,1,1,400,0,0,310,0.0095
